Input name	Standardized name	Formula	Exact mass	Super class	Main class	 Sub class
1-Methylhistidine	1-Methylhistidine	169.0851	C7H11N3O2	Organic acids	Amino acids and peptides	Amino acids
1-Methyladenosine	1-Methyladenosine	281.1124	C11H15N5O4	Nucleic acids	Purines	Purine ribonucleosides
1-Methylhistamine	1-Methylhistamine	125.0953	C6H11N3	Alkaloids	Histidine alkaloids	Imidazole alkaloids
1-Methyl nicotinamide	1-Methyl nicotinamide	137.0715	C7H9N2O	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
11,12-DiHETrE	11,12-DiHETrE	338.2457	C20H34O4	Fatty Acyls	Eicosanoids	HETrE
11,12-EpETrE	11,12-EpETrE	320.2351	C20H32O3	Fatty Acyls	Eicosanoids	EpETrE
12-HETE	12-HETE	320.2351	C20H32O3	Fatty Acyls	Eicosanoids	HETE
13-HODE	13-HODE	296.2351	C18H32O3	Fatty Acyls	Octadecanoids	HODE
13-HpODE	13-HpODE	312.2301	C18H32O4	Fatty Acyls	Octadecanoids	HpODE
13-Oxo-ODE	13-Oxo-ODE	294.2195	C18H30O3	Fatty Acyls	Octadecanoids	KODE
13S-HOTrE(gamma)	13S-HOTrE(gamma)	294.2195	C18H30O3	Fatty Acyls	Octadecanoids	HOTrE
14,15-DiHETrE	14,15-DiHETrE	338.2457	C20H34O4	Fatty Acyls	Eicosanoids	HETrE
14,15-EpETrE	14,15-EpETrE	320.2351	C20H32O3	Fatty Acyls	Eicosanoids	EpETrE
Deoxyadenosine	Deoxyadenosine	251.1018	C10H13N5O3	Nucleic acids	Purines	Purine deoxyribonucleosides
Deoxycytidine	Deoxycytidine	227.0906	C9H13N3O4	Nucleic acids	Pyrimidines	Pyrimidine deoxyribonucleosides
2-Hydroxyglutaric acid	2-Hydroxyglutaric acid	148.0372	C5H8O5	Fatty Acyls	Fatty acids	Dicarboxylic acids
2-Acetylpyrrolidine	2-Acetylpyrrolidine	113.0841	C6H11NO	Alkaloids	Ornithine alkaloids	Pyrrolidine alkaloids
Aminoisobutyric acid	Aminoisobutyric acid	103.0633	C4H9NO2	Fatty Acyls	Fatty acids	Amino FA
2-Deoxy-glucose	2-Deoxy-glucose	164.0685	C6H12O5	Carbohydrates	Monosaccharides	Hexoses
2-Hydroxybutyric acid	2-Hydroxybutyric acid	104.0473	C4H8O3	Fatty Acyls	Fatty acids	Hydroxy FA
Phosphoglyceric acid	Phosphoglyceric acid	185.9929	C3H7O7P	Organic acids	Short-chain acids	Short-chain acids
2-Piperidinone	2-Piperidinone	99.0684	C5H9NO	Organoheterocyclic compounds	Piperidinones	Piperidinones
20-HETE	20-HETE	320.2351	C20H32O3	Fatty Acyls	Eicosanoids	HETE
21-Deoxycortisol	21-Deoxycortisol	346.2144	C21H30O4	Sterol Lipids	Steroids	C21 Steroids
Protocatechuic acid	Protocatechuic acid	154.0266	C7H6O4	Polyketides	Phenolic acids	Phenolic acids
3-(1-pyrazolyl)-alanine	3-(1-Pyrazolyl)-alanine	155.0695	C6H9N3O2	Organic acids	Amino acids and peptides	Amino acids
3-Methylhistidine	3-Methylhistidine	169.0851	C7H11N3O2	Organic acids	Amino acids and peptides	Amino acids
3-Hydroxybutyric acid	3-Hydroxybutyric acid	104.0473	C4H8O3	Fatty Acyls	Fatty acids	Hydroxy FA
3-Hydroxyphenyl valeric acid	3-Hydroxyphenyl valeric acid	194.0943	C11H14O3	Fatty Acyls	Fatty acids	Hydroxy FA
3-Indolepropionic acid	3-Indolepropionic acid	189.0790	C11H11NO2	Alkaloids	Tryptophan alkaloids	Indolecarboxylic acids
3-Methyl-2-oxovaleric acid	3-Methyl-2-oxovaleric acid	130.0630	C6H10O3	Organic acids	Keto acids	Short-chain keto acids
4-Guanidinobutanoic acid	4-Guanidinobutanoic acid	145.0851	C5H11N3O2	Organic acids	Amino acids and peptides	Amino acids
4-Pyridoxic acid	4-Pyridoxic acid	183.0532	C8H9NO4	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids
5'-Methylthioadenosine	5'-Methylthioadenosine	297.0896	C11H15N5O3S	Nucleic acids	Purines	Purine ribonucleosides
5,6-DiHETrE	5,6-DiHETrE	338.2457	C20H34O4	Fatty Acyls	Eicosanoids	HETrE
5-HETE	5-HETE	320.2351	C20H32O3	Fatty Acyls	Eicosanoids	HETE
5-Hydroxytryptophol	5-Hydroxytryptophol	177.0790	C10H11NO2	Alkaloids	Tryptophan alkaloids	Simple indole alkaloids
5-Methylcytidine	5-Methylcytidine	257.1012	C10H15N3O5	Nucleic acids	Pyrimidines	Pyrimidine ribonucleosides
5-Methylcytosine	5-Methylcytosine	125.0589	C5H7N3O	Nucleic acids	Pyrimidines	Pyrimidones
6-Phosphogluconic acid	6-Phosphogluconic acid	276.0246	C6H13O10P	Carbohydrates	Monosaccharides	Monosaccharide phosphates
7-Methylguanine	7-Methylguanine	165.0651	C6H7N5O	Nucleic acids	Purines	Hypoxanthines
8,9-DiHETrE	8,9-DiHETrE	338.2457	C20H34O4	Fatty Acyls	Eicosanoids	HETrE
8,9-EpETrE	8,9-EpETrE	320.2351	C20H32O3	Fatty Acyls	Eicosanoids	EpETrE
9,10-DiHOME	9,10-DiHOME	314.2457	C18H34O4	Fatty Acyls	Octadecanoids	DiHOME
9-HETE	9-HETE	320.2351	C20H32O3	Fatty Acyls	Eicosanoids	HETE
9-HODE	9-HODE	296.2351	C18H32O3	Fatty Acyls	Octadecanoids	HODE
9-HOTrE	9-HOTrE	294.2195	C18H30O3	Fatty Acyls	Octadecanoids	HOTrE
9S-HpODE	9S-HpODE	312.2301	C18H32O4	Fatty Acyls	Octadecanoids	HpODE
Dimethylarginine	Dimethylarginine	202.1430	C8H18N4O2	Organic acids	Amino acids and peptides	Amino acids
ADP	ADP	427.0294	C10H15N5O10P2	Nucleic acids	Purines	Purine rNDP
AMP	AMP	347.0631	C10H14N5O7P	Nucleic acids	Purines	Purine rNMP
ATP	ATP	506.9958	C10H16N5O13P3	Nucleic acids	Purines	Purine rNTP
Alanine	Alanine	89.0477	C3H7NO2	Organic acids	Amino acids and peptides	Amino acids
Anserine	Anserine	240.1222	C10H16N4O3	Organic acids	Amino acids and peptides	Dipeptides
Arachidonoyl-EA	Arachidonoyl-EA	347.2824	C22H37NO2	Fatty Acyls	Fatty amides	NAE
Arginine	Arginine	174.1117	C6H14N4O2	Organic acids	Amino acids and peptides	Amino acids
Asparagine	Asparagine	132.0535	C4H8N2O3	Organic acids	Amino acids and peptides	Amino acids
Aspartic acid	Aspartic acid	133.0375	C4H7NO4	Organic acids	Amino acids and peptides	Amino acids
Behenoyl-EA	Behenoyl-EA	383.3763	C24H49NO2	Fatty Acyls	Fatty amides	NAE
C-Glycosyltryptophan	C-Glycosyltryptophan	366.1427	C17H22N2O7	Organic acids	Amino acids and peptides	Amino acids
CAR(10:0)	CAR 10:0	315.2410	C17H33NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(12:0)	CAR 12:0	343.2723	C19H37NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(12:1)	CAR 12:1	341.2566	C19H35NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(14:0)	CAR 14:0	371.3036	C21H41NO4	Fatty Acyls	Fatty esters	Acyl carnitines
LPC(14:0)	LPC 14:0	467.3012	C22H46NO7P	Glycerophospholipids	Glycerophosphocholines	LPC
SM(d18:1/14:0)	SM 18:1;O2/14:0	674.5363	C37H75N2O6P	Sphingolipids	Phosphosphingolipids	SM
CAR(14:1)	CAR 14:1	369.2879	C21H39NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(14:2)	CAR 14:2	367.2723	C21H37NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(16:0)	CAR 16:0	399.3349	C23H45NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(16:0(OH))	CAR 16:0;OH	415.3298	C23H45NO5	Fatty Acyls	Fatty esters	Acyl carnitines
Cer(d18:1/16:0)	Cer 18:1;O2/16:0	537.5121	C34H67NO3	Sphingolipids	Ceramides	Cer
LPC(0:0/16:0)	LPC 0:0/16:0	495.3325	C24H50NO7P	Glycerophospholipids	Glycerophosphocholines	LPC
LPE(16:0)	LPE 16:0	453.2855	C21H44NO7P	Glycerophospholipids	Glycerophosphoethanolamines	LPE
SM(d18:1/16:0)	SM 18:1;O2/16:0	702.5676	C39H79N2O6P	Sphingolipids	Phosphosphingolipids	SM
LPC(16:1)	LPC 16:1	493.3168	C24H48NO7P	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(P-16:0)/LPC(O-16:1)	LPC P-16:0 or LPC O-16:1	479.3376	C24H50NO6P	Glycerophospholipids	Glycerophosphocholines	O-LPC
LPE(16:1)	LPE 16:1	451.2699	C21H42NO7P	Glycerophospholipids	Glycerophosphoethanolamines	LPE
SM(d18:1/16:1)	SM 18:1;O2/16:1	700.5519	C39H77N2O6P	Sphingolipids	Phosphosphingolipids	SM
CAR(18:0)	CAR 18:0	427.3662	C25H49NO4	Fatty Acyls	Fatty esters	Acyl carnitines
LPC(18:0)	LPC 18:0	523.3638	C26H54NO7P	Glycerophospholipids	Glycerophosphocholines	LPC
LPE(18:0)_hp_a	LPE 18:0	481.3168	C23H48NO7P	Glycerophospholipids	Glycerophosphoethanolamines	LPE
LPE(18:0)_hp_b	LPE 18:0	481.3168	C23H48NO7P	Glycerophospholipids	Glycerophosphoethanolamines	LPE
SM(d18:1/18:0)	SM 18:1;O2/18:0	730.5989	C41H83N2O6P	Sphingolipids	Phosphosphingolipids	SM
LPC(18:1)	LPC 18:1	521.3481	C26H52NO7P	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(P-18:0)/LPC(O-18:1)_hp_a	LPC P-18:0 or LPC O-18:1	507.3689	C26H54NO6P	Glycerophospholipids	Glycerophosphocholines	O-LPC
LPC(P-18:0)/LPC(O-18:1)_hp_b	LPC P-18:0 or LPC O-18:1	507.3689	C26H54NO6P	Glycerophospholipids	Glycerophosphocholines	O-LPC
LPE(18:1)	LPE 18:1	479.3012	C23H46NO7P	Glycerophospholipids	Glycerophosphoethanolamines	LPE
SM(d18:1/18:1)	SM 18:1;O2/18:1	728.5832	C41H81N2O6P	Sphingolipids	Phosphosphingolipids	SM
CAR(18:1)	CAR 18:1	425.3505	C25H47NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(18:1(OH))	CAR 18:1;OH	441.3454	C25H47NO5	Fatty Acyls	Fatty esters	Acyl carnitines
LPC(0:0/18:2)	LPC 0:0/18:2	519.3325	C26H50NO7P	Glycerophospholipids	Glycerophosphocholines	LPC
LPE(18:2)	LPE 18:2	477.2855	C23H44NO7P	Glycerophospholipids	Glycerophosphoethanolamines	LPE
CAR(18:2)	CAR 18:2	423.3349	C25H45NO4	Fatty Acyls	Fatty esters	Acyl carnitines
LPC(18:3)	LPC 18:3	517.3168	C26H48NO7P	Glycerophospholipids	Glycerophosphocholines	LPC
LPE(18:3)	LPE 18:3	475.2699	C23H42NO7P	Glycerophospholipids	Glycerophosphoethanolamines	LPE
CAR(2:0)	CAR 2:0	203.1158	C9H17NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(20:0)	CAR 20:0	455.3975	C27H53NO4	Fatty Acyls	Fatty esters	Acyl carnitines
LPE(20:0)	LPE 20:0	509.3481	C25H52NO7P	Glycerophospholipids	Glycerophosphoethanolamines	LPE
SM(d18:1/20:0)	SM 18:1;O2/20:0	758.6302	C43H87N2O6P	Sphingolipids	Phosphosphingolipids	SM
LPC(20:1)	LPC 20:1	549.3794	C28H56NO7P	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(20:3)	LPC 20:3	545.3481	C28H52NO7P	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(20:4)_hp_a	LPC 20:4	543.3325	C28H50NO7P	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(20:4)_hp_b	LPC 20:4	543.3325	C28H50NO7P	Glycerophospholipids	Glycerophosphocholines	LPC
LPE(20:4)	LPE 20:4	501.2855	C25H44NO7P	Glycerophospholipids	Glycerophosphoethanolamines	LPE
CAR(20:4)	CAR 20:4	504.4053	C31H54NO4	Fatty Acyls	Fatty esters	Acyl carnitines
LPC(20:5)	LPC 20:5	541.3168	C28H48NO7P	Glycerophospholipids	Glycerophosphocholines	LPC
SM(d18:1/22:0)	SM 18:1;O2/22:0	786.6615	C45H91N2O6P	Sphingolipids	Phosphosphingolipids	SM
LPC(22:4)	LPC 22:4	571.3638	C30H54NO7P	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(22:5)	LPC 22:5	569.3481	C30H52NO7P	Glycerophospholipids	Glycerophosphocholines	LPC
LPC(22:6)	LPC 22:6	567.3325	C30H50NO7P	Glycerophospholipids	Glycerophosphocholines	LPC
LPE(22:6)	LPE 22:6	525.2855	C27H44NO7P	Glycerophospholipids	Glycerophosphoethanolamines	LPE
LPC(24:0)	LPC 24:0	607.4577	C32H66NO7P	Glycerophospholipids	Glycerophosphocholines	LPC
Cer(d18:0/24:1)	Cer 18:0;O2/24:1	649.6373	C42H83NO3	Sphingolipids	Ceramides	DHCer
CAR(26:0)	CAR 26:0	539.4914	C33H65NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(3:0)	CAR 3:0	217.1314	C10H19NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(DC3:0)	CAR DC3:0	247.1056	C10H17NO6	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(DC3:0(2Me))	CAR DC3:0;2Me	261.1212	C11H19NO6	Fatty Acyls	Fatty esters	Acyl carnitines
PC(30:0)	PC 30:0	705.5309	C38H76NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(32:2)	PC 32:2	729.5309	C40H76NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PE(34:0)	PE 34:0	719.5465	C39H78NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(34:2)	PE 34:2	715.5152	C39H74NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(P-34:1)/PE(O-34:2)	PE P-34:1 or PE O-34:2	701.5359	C39H76NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PC(34:3)	PC 34:3	755.5465	C42H78NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(P-34:2)/PC(O-34:3)	PC P-34:2 or PC O-34:3	741.5672	C42H80NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PE(P-34:2)/PE(O-34:3)	PE P-34:2 or PE O-34:3	699.5203	C39H74NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PC(34:4)	PC 34:4	753.5309	C42H76NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PC(36:2)	PC 36:2	785.5935	C44H84NO8P	Glycerophospholipids	Glycerophosphocholines	PC
PE(36:2)	PE 36:2	743.5465	C41H78NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PS(P-36:1)/PS(O-36:2)	PS P-36:1 or PS O-36:2	773.5571	C42H80NO9P	Glycerophospholipids	Glycerophosphoserines	O-PS
PE(P-36:2)/PE(O-36:3)	PE P-36:2 or PE O-36:3	727.5516	C41H78NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(36:4)	PE 36:4	739.5152	C41H74NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PC(P-36:4)/PC(O-36:5)	PC P-36:4 or PC O-36:5	765.5672	C44H80NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PE(P-36:4)/PE(O-36:5)	PE P-36:4 or PE O-36:5	723.5203	C41H74NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PE(38:4)	PE 38:4	767.5465	C43H78NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(P-38:4)/PE(O-38:5)	PE P-38:4 or PE O-38:5	751.5516	C43H78NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PC(P-38:5)/PC(O-38:6)	PC P-38:5 or PC O-38:6	791.5829	C46H82NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PE(38:6)	PE 38:6	763.5152	C43H74NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(P-38:5)/PE(O-38:6)	PE P-38:5 or PE O-38:6	749.5359	C43H76NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
PC(P-38:6)/PC(O-38:7)	PC P-38:6 or PC O-38:7	789.5672	C46H80NO7P	Glycerophospholipids	Glycerophosphocholines	O-PC
PE(P-38:6)/PE(O-38:7)	PE P-38:6 or PE O-38:7	747.5203	C43H74NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
CAR(4:0)	CAR 4:0	231.1471	C11H21NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(4:0(OH))	CAR 4:0;OH	247.1420	C11H21NO5	Fatty Acyls	Fatty esters	Acyl carnitines
PE(40:6)	PE 40:6	791.5465	C45H78NO8P	Glycerophospholipids	Glycerophosphoethanolamines	PE
PE(P-40:6)/PE(O-40:7)	PE P-40:6 or PE O-40:7	775.5516	C45H78NO7P	Glycerophospholipids	Glycerophosphoethanolamines	O-PE
CAR(5:0)	CAR 5:0	245.1627	C12H23NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(5:1)	CAR 5:1	243.1471	C12H21NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(6:0)	CAR 6:0	259.1784	C13H25NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(7:0)	CAR 7:0	273.1940	C14H27NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(8:0)	CAR 8:0	287.2097	C15H29NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CE(18:1)	CE 18:1	650.6002	C45H78O2	Sterol Lipids	Sterol esters	Chol. esters
CE(18:2)	CE 18:2	648.5845	C45H76O2	Sterol Lipids	Sterol esters	Chol. esters
CE(20:2)	CE 20:2	676.6158	C47H80O2	Sterol Lipids	Sterol esters	Chol. esters
CE(20:4)_lp_a	CE 20:4	672.5845	C47H76O2	Sterol Lipids	Sterol esters	Chol. esters
CE(20:5)	CE 20:5	670.5689	C47H74O2	Sterol Lipids	Sterol esters	Chol. esters
CE(22:6)_lp_a	CE 22:6	696.5845	C49H76O2	Sterol Lipids	Sterol esters	Chol. esters
CL(72:8)	CL 72:8	1448.9722	C81H142O17P2	Glycerophospholipids	Cardiolipins	CL
CMP	CMP	323.0519	C9H14N3O8P	Nucleic acids	Pyrimidines	Pyrimidine rNMP
CAR(10:0(OH))	CAR 10:0;OH	331.2359	C17H33NO5	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(10:1)	CAR 10:1	313.2253	C17H31NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(11:0)	CAR 11:0	329.2566	C18H35NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(12:0)_lp_a	CAR 12:0	343.2723	C19H37NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(12:0)_lp_b	CAR 12:0	343.2723	C19H37NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(14:1(OH))	CAR 14:1;OH	385.2828	C21H39NO5	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(16:1)	CAR 16:1	397.3192	C23H43NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(16:1)_lp_a	CAR 16:1	397.3192	C23H43NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(16:1)_lp_b	CAR 16:1	397.3192	C23H43NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(16:2)	CAR 16:2	395.3036	C23H41NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(16:3)	CAR 16:3	393.2879	C23H39NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(17:0)_lp_b	CAR 17:0	413.3505	C24H47NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(18:0(OH))	CAR 18:0;OH	443.3611	C25H49NO5	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(18:1)_lp_a	CAR 18:1	425.3505	C25H47NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(18:2)_lp_a	CAR 18:2	423.3349	C25H45NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(19:0)	CAR 19:0	441.3818	C26H51NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(20:1)	CAR 20:1	453.3818	C27H51NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(20:2)_lp_a	CAR 20:2	451.3662	C27H49NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(21:2)	CAR 21:2	465.3818	C28H51NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(22:4)	CAR 22:4	475.3662	C29H49NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(24:0)	CAR 24:0	511.4601	C31H61NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(24:1)	CAR 24:1	509.4444	C31H59NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(4:0)_rp_a	CAR 4:0	231.1471	C11H21NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(4:0)_rp_b	CAR 4:0	231.1471	C11H21NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(5:0)_rp_a	CAR 5:0	245.1627	C12H23NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(5:0)_rp_b	CAR 5:0	245.1627	C12H23NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(5:0(OH))	CAR 5:0;OH	261.1576	C12H23NO5	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(8:0(OH))	CAR 8:0;OH	303.2046	C15H29NO5	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(8:1)	CAR 8:1	285.1940	C15H27NO4	Fatty Acyls	Fatty esters	Acyl carnitines
CAR(9:0)	CAR 9:0	301.2253	C16H31NO4	Fatty Acyls	Fatty esters	Acyl carnitines
Carnosine	Carnosine	226.1066	C9H14N4O3	Organic acids	Amino acids and peptides	Dipeptides
Cer(d18:0/16:0)	Cer 18:0;O2/16:0	539.5277	C34H69NO3	Sphingolipids	Ceramides	DHCer
Cer(d34:1)	Cer 34:1;O2	537.5121	C34H67NO3	Sphingolipids	Ceramides	Cer
Cer(d18:1/18:0)	Cer 18:1;O2/18:0	565.5434	C36H71NO3	Sphingolipids	Ceramides	Cer
Cer(d38:1)	Cer 38:1;O2	593.5747	C38H75NO3	Sphingolipids	Ceramides	Cer
Cer(d18:0/22:0)	Cer 18:0;O2/22:0	623.6216	C40H81NO3	Sphingolipids	Ceramides	DHCer
Cer(d18:1/22:0)_lp_b	Cer 18:1;O2/22:0	621.6060	C40H79NO3	Sphingolipids	Ceramides	Cer
Cer(d40:1)_ln_b	Cer 40:1;O2	621.6060	C40H79NO3	Sphingolipids	Ceramides	Cer
Cer(d18:2/22:0)_lp_b	Cer 18:2;O2/22:0	619.5903	C40H77NO3	Sphingolipids	Ceramides	Cer
Cer(d40:2)_ln_b	Cer 40:2;O2	619.5903	C40H77NO3	Sphingolipids	Ceramides	Cer
Cer(d18:1/23:0)	Cer 18:1;O2/23:0	635.6216	C41H81NO3	Sphingolipids	Ceramides	Cer
Cer(d41:1)	Cer 41:1;O2	635.6216	C41H81NO3	Sphingolipids	Ceramides	Cer
Cer(d18:2/23:0)_lp_b	Cer 18:2;O2/23:0	633.6060	C41H79NO3	Sphingolipids	Ceramides	Cer
Cer(d18:0/24:0)	Cer 18:0;O2/24:0	651.6529	C42H85NO3	Sphingolipids	Ceramides	DHCer
Cer(d42:0)	Cer 42:0;O2	651.6529	C42H85NO3	Sphingolipids	Ceramides	DHCer
Cer(d42:0(OH))	-					
Cer(d18:0/24:1)_lp_a	Cer 18:0;O2/24:1	649.6373	C42H83NO3	Sphingolipids	Ceramides	DHCer
Cer(d18:1/24:0)_lp_c	Cer 18:1;O2/24:0	649.6373	C42H83NO3	Sphingolipids	Ceramides	Cer
Cer(d42:1)_ln_b	Cer 42:1;O2	649.6373	C42H83NO3	Sphingolipids	Ceramides	Cer
Cer(d42:1)_ln_c	Cer 42:1;O2	649.6373	C42H83NO3	Sphingolipids	Ceramides	Cer
Cer(d18:1/24:1)_lp_c	Cer 18:1;O2/24:1	647.6216	C42H81NO3	Sphingolipids	Ceramides	Cer
Cer(d18:2/24:0)_lp_d	Cer 18:2;O2/24:0	647.6216	C42H81NO3	Sphingolipids	Ceramides	Cer
Cer(d42:2)_ln_c	Cer 42:2;O2	647.6216	C42H81NO3	Sphingolipids	Ceramides	Cer
Cer(d42:2)_ln_d	Cer 42:2;O2	647.6216	C42H81NO3	Sphingolipids	Ceramides	Cer
Cer(d42:3)_lp_b	Cer 42:3;O2	645.6060	C42H79NO3	Sphingolipids	Ceramides	Cer
Cer(d18:1/25:0)_lp_a	Cer 18:1;O2/25:0	663.6529	C43H85NO3	Sphingolipids	Ceramides	Cer
Cer(d18:1/25:0)_lp_b	Cer 18:1;O2/25:0	663.6529	C43H85NO3	Sphingolipids	Ceramides	Cer
Cer(d44:1)	Cer 44:1;O2	677.6686	C44H87NO3	Sphingolipids	Ceramides	Cer
Cer(t18:1/24:0)_lp_a	Cer 18:1;O3/24:0	665.6322	C42H83NO4	Sphingolipids	Ceramides	Cer
Cholesterol sulfate	Cholesterol sulfate	466.3117	C27H46O4S	Sterol Lipids	Sterols	Cholesterols
Citric acid	Citric acid	192.0270	C6H8O7	Organic acids	TCA acids	TCA acids
Citrulline	Citrulline	175.0957	C6H13N3O3	Organic acids	Amino acids and peptides	Amino acids
Acetyl-CoA	Acetyl-CoA	809.1258	C23H38N7O17P3S	Fatty Acyls	Fatty esters	Acyl CoAs
Cystathionine	Cystathionine	222.0674	C7H14N2O4S	Organic acids	Amino acids and peptides	Amino acids
Cysteine	Cysteine	121.0198	C3H7NO2S	Organic acids	Amino acids and peptides	Amino acids
DG(18:1_18:1)	DG 18:1_18:1	620.5380	C39H72O5	Glycerolipids	Diradylglycerols	DG
DG(32:0)	DG 32:0	568.5067	C35H68O5	Glycerolipids	Diradylglycerols	DG
DG(16:0_16:0)_lp_b	DG 16:0_16:0	568.5067	C35H68O5	Glycerolipids	Diradylglycerols	DG
DG(32:1)	DG 32:1	566.4910	C35H66O5	Glycerolipids	Diradylglycerols	DG
DG(16:0_16:1)	DG 16:0_16:1	566.4910	C35H66O5	Glycerolipids	Diradylglycerols	DG
DG(34:1)	DG 34:1	594.5223	C37H70O5	Glycerolipids	Diradylglycerols	DG
DG(16:0_18:1)_lp_b	DG 16:0_18:1	594.5223	C37H70O5	Glycerolipids	Diradylglycerols	DG
DG(34:2)	DG 34:2	592.5067	C37H68O5	Glycerolipids	Diradylglycerols	DG
DG(16:0_18:2)_lp_b	DG 16:0_18:2	592.5067	C37H68O5	Glycerolipids	Diradylglycerols	DG
DG(16:0_18:2)_lp_c	DG 16:0_18:2	592.5067	C37H68O5	Glycerolipids	Diradylglycerols	DG
DG(18:0_18:1)_lp_b	DG 18:0_18:1	622.5536	C39H74O5	Glycerolipids	Diradylglycerols	DG
DG(18:0_18:2_0:0)_lp_c	DG 18:0_18:2	620.5380	C39H72O5	Glycerolipids	Diradylglycerols	DG
DG(18:0_18:2_0:0)_lp_d	DG 18:0_18:2	620.5380	C39H72O5	Glycerolipids	Diradylglycerols	DG
DG(36:3)	DG 36:3	618.5223	C39H70O5	Glycerolipids	Diradylglycerols	DG
DG(18:1_18:2)_lp_c	DG 18:1_18:2	618.5223	C39H70O5	Glycerolipids	Diradylglycerols	DG
DG(16:0_20:4)_lp_b	DG 16:0_20:4	616.5067	C39H68O5	Glycerolipids	Diradylglycerols	DG
