"feature_set","factor","pval","padj","sign","view"
"GOBP_CELLULAR_OXIDANT_DETOXIFICATION","Factor1",0.0928573153407527,0.427634173982241,"negative","Redox"
"GOBP_POSITIVE_REGULATION_OF_TRANSPORT","Factor1",0.0949766609064505,0.431967924418967,"negative","Redox"
"GOBP_ORGANIC_HYDROXY_COMPOUND_METABOLIC_PROCESS","Factor1",0.0957672390356577,0.432360917410984,"negative","Redox"
"GOBP_PROTEOLYSIS","Factor1",0.103263598688079,0.447101931559533,"negative","Redox"
"GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS","Factor1",0.101389440492101,0.447101931559533,"negative","Redox"
"GOBP_RESPONSE_TO_INSULIN","Factor1",0.102509055874619,0.447101931559533,"negative","Redox"
"GOMF_MOLECULAR_FUNCTION_INHIBITOR_ACTIVITY","Factor1",0.103190326290417,0.447101931559533,"negative","Redox"
"GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE","Factor1",0.106608009952724,0.44726810901275,"negative","Redox"
"GOBP_RESPONSE_TO_TOXIC_SUBSTANCE","Factor1",0.106082757152866,0.44726810901275,"negative","Redox"
"GOBP_EXPORT_FROM_CELL","Factor1",0.10791642150992,0.447707316264127,"negative","Redox"
"GOMF_ACTIN_FILAMENT_BINDING","Factor1",0.109319485711352,0.448880693507449,"negative","Redox"
"GOMF_SULFUR_COMPOUND_BINDING","Factor1",0.11678507029427,0.457095081235166,"negative","Redox"
"GOBP_POTASSIUM_ION_TRANSPORT","Factor1",0.0134571223384659,0.459037395323225,"positive","Redox"
"GOBP_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY","Factor1",0.121896861768289,0.473700462821074,"negative","Redox"
"GOBP_REGULATION_OF_MEMBRANE_POTENTIAL","Factor1",0.01544919669898,0.474290338658686,"positive","Redox"
"GOBP_CARDIAC_CONDUCTION","Factor1",0.0162869331995367,0.476198904024548,"positive","Redox"
"GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX","Factor1",0.0178122415858072,0.497123469712983,"positive","Redox"
"GOBP_RESPONSE_TO_INORGANIC_SUBSTANCE","Factor1",0.130551384460837,0.497879192912758,"negative","Redox"
"GOCC_VESICLE_LUMEN","Factor1",0.131845735308254,0.499711614069556,"negative","Redox"
"GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION","Factor1",0.142408087948548,0.529764239400751,"negative","Redox"
"GOBP_HEART_DEVELOPMENT","Factor1",0.144240616738063,0.529902579270963,"negative","Redox"
"GOBP_RESPONSE_TO_METAL_ION","Factor1",0.146715697843752,0.529902579270963,"negative","Redox"
"GOBP_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS","Factor1",0.156999567534055,0.532293453198047,"negative","Redox"
"GOBP_GLAND_DEVELOPMENT","Factor1",0.155166190220956,0.532293453198047,"negative","Redox"
"GOBP_GLUCOSE_METABOLIC_PROCESS","Factor1",0.157780795573363,0.532293453198047,"negative","Redox"
"GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS","Factor1",0.15509138392304,0.532293453198047,"negative","Redox"
"GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS","Factor1",0.152441889488042,0.532293453198047,"negative","Redox"
"GOMF_ENDOPEPTIDASE_ACTIVITY","Factor1",0.150775468091171,0.532293453198047,"negative","Redox"
"GOBP_NEUROMUSCULAR_PROCESS","Factor1",0.0203114001758544,0.542226074259765,"positive","Redox"
"GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS","Factor1",0.16539347651103,0.549087035151659,"negative","Redox"
"GOBP_REGULATION_OF_MUSCLE_CONTRACTION","Factor1",0.0215770251797436,0.552012227515108,"positive","Redox"
"GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION","Factor1",0.172066273768545,0.555779848849478,"negative","Redox"
"GOBP_NON_MEMBRANE_BOUNDED_ORGANELLE_ASSEMBLY","Factor1",0.169461425382918,0.555779848849478,"negative","Redox"
"GOBP_ACTIN_FILAMENT_ORGANIZATION","Factor1",0.181755827365143,0.55792197762589,"negative","Redox"
"GOBP_DEVELOPMENTAL_GROWTH","Factor1",0.194418939914511,0.55792197762589,"negative","Redox"
"GOBP_PROTEIN_PHOSPHORYLATION","Factor1",0.190856569928008,0.55792197762589,"negative","Redox"
"GOBP_PROTEIN_POLYMERIZATION","Factor1",0.187101004797059,0.55792197762589,"negative","Redox"
"GOBP_REGULATION_OF_CELLULAR_LOCALIZATION","Factor1",0.190364976919075,0.55792197762589,"negative","Redox"
"GOBP_REGULATION_OF_CYTOSKELETON_ORGANIZATION","Factor1",0.185449021244786,0.55792197762589,"negative","Redox"
"GOBP_RESPONSE_TO_CYTOKINE","Factor1",0.184466506173643,0.55792197762589,"negative","Redox"
"GOBP_RESPONSE_TO_OXYGEN_LEVELS","Factor1",0.183465376712993,0.55792197762589,"negative","Redox"
"GOBP_SENSORY_PERCEPTION","Factor1",0.187774878209401,0.55792197762589,"negative","Redox"
"GOMF_PROTEIN_CONTAINING_COMPLEX_BINDING","Factor1",0.191129063179528,0.55792197762589,"negative","Redox"
"GOBP_CELL_MATRIX_ADHESION","Factor1",0.197775211815201,0.559353736754679,"negative","Redox"
"GOBP_POSITIVE_REGULATION_OF_ENDOCYTOSIS","Factor1",0.198597906535049,0.559353736754679,"negative","Redox"
"GOBP_SARCOPLASMIC_RETICULUM_CALCIUM_ION_TRANSPORT","Factor1",0.0261093810821483,0.562404903457159,"positive","Redox"
"GOBP_MULTICELLULAR_ORGANISMAL_MOVEMENT","Factor1",0.0282455040021263,0.562404903457159,"positive","Redox"
"GOBP_REGULATION_OF_SYSTEM_PROCESS","Factor1",0.0283950358422995,0.562404903457159,"positive","Redox"
"GOBP_SKELETAL_MUSCLE_CONTRACTION","Factor1",0.0282455040021263,0.562404903457159,"positive","Redox"
"GOCC_SARCOLEMMA","Factor1",0.0252267799654467,0.562404903457159,"positive","Redox"
"GOCC_SARCOPLASMIC_RETICULUM","Factor1",0.0270867439004689,0.562404903457159,"positive","Redox"
"GOBP_REGULATION_OF_HYDROLASE_ACTIVITY","Factor1",0.211500393851627,0.579580045072898,"negative","Redox"
"GOBP_MUSCLE_CONTRACTION","Factor1",0.0306830155060176,0.588730360021713,"positive","Redox"
"GOBP_CARDIAC_CHAMBER_DEVELOPMENT","Factor1",0.221497542858784,0.59130213615345,"negative","Redox"
"GOBP_REGULATION_OF_ENDOCYTOSIS","Factor1",0.223419342604688,0.591779006920565,"negative","Redox"
"GOBP_MAINTENANCE_OF_LOCATION","Factor1",0.237002853430297,0.610355524274713,"negative","Redox"
